Layer,Attack_type,percentage_of_weights_flipped,number_of_weights_flipped,Model_loss,Layer_type,loss_fn
backbone.layers.1.mixer.conv1d.bias,Gradient,1.0,40,2.85885538905859,mixer.conv1d.bias,0.07147138472646475
backbone.layers.1.mixer.conv1d.bias,Gradient,5.0,204,2.8596031765143075,mixer.conv1d.bias,0.014017662629972096
backbone.layers.1.mixer.conv1d.bias,Gradient,10.0,409,2.8573399571081004,mixer.conv1d.bias,0.006986161264322984
backbone.layers.1.mixer.conv1d.bias,Gradient,50.0,2048,2.8839871659874916,mixer.conv1d.bias,0.0014081968583923299
backbone.layers.1.mixer.conv1d.bias,Hybrid,0.1,4,2.8574006743729115,mixer.conv1d.bias,0.7143501685932279
backbone.layers.1.mixer.conv1d.bias,Hybrid,1.0,40,2.8658137917518616,mixer.conv1d.bias,0.07164534479379654
backbone.layers.1.mixer.conv1d.bias,Hybrid,5.0,204,2.880796982596318,mixer.conv1d.bias,0.01412155383625646
backbone.layers.1.mixer.conv1d.bias,Hybrid,10.0,409,2.937126745780309,mixer.conv1d.bias,0.007181238987237919
backbone.layers.1.mixer.conv1d.bias,Hybrid,50.0,2048,6.522362771133582,mixer.conv1d.bias,0.0031847474468425694
backbone.layers.1.mixer.in_proj.weight,Magnitude,0.001,167,2.8622573850055537,mixer.in_proj.weight,0.01713926577847637
backbone.layers.1.mixer.in_proj.weight,Magnitude,0.01,1677,2.866846097012361,mixer.in_proj.weight,0.0017095087042411216
backbone.layers.1.mixer.in_proj.weight,Magnitude,0.1,16777,2.8743229396641254,mixer.in_proj.weight,0.00017132520353246262
backbone.layers.1.mixer.in_proj.weight,Magnitude,1.0,167772,2.888333011418581,mixer.in_proj.weight,1.7215822732151856e-05
backbone.layers.1.mixer.in_proj.weight,Magnitude,5.0,838860,2.9070057260493436,mixer.in_proj.weight,3.465424178109987e-06
backbone.layers.1.mixer.in_proj.weight,Magnitude,10.0,1677721,2.9084797675410905,mixer.in_proj.weight,1.733589653786947e-06
backbone.layers.1.mixer.in_proj.weight,Magnitude,50.0,8388608,3.050306301563978,mixer.in_proj.weight,3.6362484712171295e-07
backbone.layers.1.mixer.in_proj.weight,Gradient,0.001,167,2.857343548287948,mixer.in_proj.weight,0.01710984160651466
backbone.layers.1.mixer.in_proj.weight,Gradient,0.01,1677,2.856616052488486,mixer.in_proj.weight,0.0017034084988005282
backbone.layers.1.mixer.in_proj.weight,Gradient,0.1,16777,2.8570296789209046,mixer.in_proj.weight,0.00017029443159807502
backbone.layers.1.mixer.in_proj.weight,Gradient,1.0,167772,2.8606601047019162,mixer.in_proj.weight,1.705087919737451e-05
backbone.layers.1.mixer.in_proj.weight,Gradient,5.0,838860,2.8724436908960342,mixer.in_proj.weight,3.424222982256913e-06
backbone.layers.1.mixer.in_proj.weight,Gradient,10.0,1677721,2.8856495258708796,mixer.in_proj.weight,1.719981764471494e-06
backbone.layers.1.mixer.in_proj.weight,Gradient,50.0,8388608,2.936146022131046,mixer.in_proj.weight,3.500158813155944e-07
backbone.layers.1.mixer.in_proj.weight,Hybrid,0.001,167,2.862921585639318,mixer.in_proj.weight,0.017143243027780346
backbone.layers.1.mixer.in_proj.weight,Hybrid,0.01,1677,2.868315525352955,mixer.in_proj.weight,0.0017103849286541175
backbone.layers.1.mixer.in_proj.weight,Hybrid,0.1,16777,2.87381054336826,mixer.in_proj.weight,0.00017129466194005244
backbone.layers.1.mixer.in_proj.weight,Hybrid,1.0,167772,2.886646846930186,mixer.in_proj.weight,1.7205772399030744e-05
backbone.layers.1.mixer.in_proj.weight,Hybrid,5.0,838860,2.904802275200685,mixer.in_proj.weight,3.462797457502664e-06
backbone.layers.1.mixer.in_proj.weight,Hybrid,10.0,1677721,2.9090189461906752,mixer.in_proj.weight,1.7339110294206695e-06
backbone.layers.1.mixer.in_proj.weight,Hybrid,50.0,8388608,3.0815249271690845,mixer.in_proj.weight,3.673463973008495e-07
